sl,sepal Length,Sepal Width,Species,Distance,Rank,,,,,,
1,5.3,3.7,Setosa,0.608276253,3,k=3,,,,,
2,5.1,3.8,Setosa,0.707106781,6,,,,,sepal Length,Sepal Width
3,7.2,3,Virginica,2.002498439,13,,,,,5.2,3.1
4,5.4,3.4,Setosa,0.360555128,2,k=2,,,,,
5,5.1,3.3,Setosa,0.223606798,1,k=1,,,,,
6,5.4,3.9,Setosa,0.824621125,8,,,,,,
7,7.4,2.8,Virginica,2.220360331,15,,,,,,
8,6.1,2.8,Verscicolor,0.948683298,10,,,,,,
9,7.3,2.9,Virginica,2.109502311,14,,,,,,
10,6,2.7,Verscicolor,0.894427191,9,,,,,,
11,5.8,2.8,Virginica,0.670820393,5,,,,,,
12,6.3,2.3,Verscicolor,1.360147051,12,,,,,,
13,5.1,2.5,Verscicolor,0.608276253,4,,,,,,
14,6.3,2.5,Verscicolor,1.252996409,11,,,,,,
15,5.5,2.4,Verscicolor,0.761577311,7,,,,,,
